Indian Port,Cush,BE_NO,BE_DATE,CTH,ITEM,GRADE,QTY,UQC,UNIT_VALUE_INR,InvoiceUnitPriceFC,Invoice_Currency,TOTAL_VALUE,UPI,Total_Duty_Paid,IEC,IMPORTER,ADDRESS,CITY,Supp_Name,Supp_Address,CHA_NAME,Port_Of_Shipment,COUNTRY
Bombay,Inbom4,4492969,2025-09-13,29339990,Azithromycin For Peak Identification Crs-For Testing Purposeonlyazithromycin For Peak Identification Crs-For Testing Purpose,USP,2,Nos,8523.14,79,Eur,17046.27,,4727.8,0397031441,Bliss Gvs Pharma Ltd,"102,Hyde Park,Sakivihar Road Andheri(E)",,European Directorate For The Quality Of Medicines,Healthcare Edqm. Strasbourgallee Kastner 7- - Cs 30026 Strasbourg 67081 Fr France,29,Strasbourg,France
Bombay,Inbom4,4492969,2025-09-13,29339990,Azithromycin For System Suitability Crs-For Testing Purposeonlyazithromycin For System Suitability Crs-For Testing Purpose,USP,2,Nos,8523.14,79,Eur,17046.27,,4727.8,0397031441,Bliss Gvs Pharma Ltd,"102,Hyde Park,Sakivihar Road Andheri(E)",,European Directorate For The Quality Of Medicines,Healthcare Edqm. Strasbourgallee Kastner 7- - Cs 30026 Strasbourg 67081 Fr France,29,Strasbourg,France
Bangalore,Inblr4,2350877,2025-05-29,29419090,Phr1088-1G Azithromycin (Laboratory Chemicals) Phr1088-1G Azithromycin (Laboratory Chemicals),USP,4,Nos,7303.11,85.32,Usd,29212.46,,8102.1,0703003453,Sigma Aldrich Chemicals Pvt Ltd,Plot.No.12 Bommasandra-Jigani Link Road Indl.Area Anekal Tq,Bangalore,Sigma Aldrich International Gmbh,"Industriestrasse-25-Ch 9470 Buchs Buchs,Switzerland Buchs,Switzerland Sdnf Switzerland",29,"Chicago, Il",China
Madras Sea,Inmaa4,7598531,2025-01-03,29415000,Azithromycin 15 Mcg -# 67008 (64635159) Azithromycin 15 Mcg -# 67008 (64635159),USP,52,Nos,450.22,445.21,Inr,23411.37,,6493.2,0596039981,Bio Rad Laboratories India Pvt Ltd,"Plot No.1270, Basement Lal Dora,,Village, Kapashra Opp.Fun And Food","Village, New Delhi",Bio Rad Europe Gmbh,"Holbeinstrasse75,Basel 4051, Switzerland, Shipped From 77290 Mitry-Mory France",29,Paris,France
Bangalore,Inblr4,2251724,2025-05-24,29419090,75199-25Mg-F Azithromycin (Laboratory Chemicals) 75199-25Mg-F Azithromycin (Laboratory Chemicals),USP,2,Nos,15430.05,15430.05,Inr,30860.09,,8559.1,0703003453,Sigma Aldrich Chemicals Pvt Ltd,Plot.No.12 Bommasandra-Jigani Link Road Indl.Area Anekal Tq,Bangalore,Sigma Aldrich International Gmbh,"Industriestrasse-25-Ch 9471 Buchs Buchs,Switzerland Buchs,Switzerland Sdnf Switzerland",29,N|Rnberg (Nuremberg),China
Bangalore,Inblr4,2315220,2025-05-27,29419090,Phr1088-1G Azithromycin (Laboratory Chemicals) Phr1088-1G Azithromycin (Laboratory Chemicals),USP,36,Nos,7314.36,7314.36,Inr,263317,,73031,0703003453,Sigma Aldrich Chemicals Pvt Ltd,Plot.No.12 Bommasandra-Jigani Link Road Indl.Area Anekal Tq,Bangalore,Sigma Aldrich International Gmbh,"Industriestrasse-25-Ch 9470 Buchs Buchs,Switzerland Buchs,Switzerland Sdnf Switzerland",29,"Chicago, Il",China
Bangalore,Inblr4,0,2026-01-03,29419090,75199-25Mg-F Azithromycin (Laboratory Chemicals) 75199-25Mg-F Azithromycin (Laboratory Chemicals),USP,2,Nos,15797,15797,Inr,31595.86,,8763.2,0703003453,Sigma Aldrich Chemicals Pvt Ltd,"Plot.No.12,Bommasandra-Jigani Link Road,Indl.Area,Anekal Tq,",Bangalore,Sigma Aldrich International Gmbh,"Sigma Aldrich International Gmbhindustriestrasse-25-Ch 9470 Switzer Land Buchs, Switzerland Sdnf Switzerlandswitzerland",29,"Chicago, Il",China
Madras,Inmaa4,8812227,2025-03-10,29415000,Azithromycin 15Mcg -# 67008 (64646768) Azithromycin 15G -# 67008 (64646768),USP,69,Nos,506.26,506.26,Inr,34932.02,,9688.4,596039981,Bio Rad Laboratories India Pvt Ltd,"Plot No.1270, Basement Lal Dora,,Village, Kapashra Opp.Fun And Food","Village, New Delhi",Bio Rad Europe Gmbh,"Holbeinstrasse 75,4051 Basel, Switzerland Shipped From 77290 Mitry-Mory, France",29,Paris,France
Jnpt,Innsa1,9917151,2025-05-07,29419090,Azithromycin Ip Azithromycin Ip,IP,200,Kg,11729.33,137,Usd,9571135,,2654554.25,0299002314,Mehta Medicare Pvt Ltd,1A Ashutosh Mukherjee Road Room No.303C (3Rd Floor),"Kolkata,W.B.",Hebei Sunco Biotech Co Ltd,"Room 2305,Zhongye Shengshi Plaza, N O.66 Xiangtai Road Shijiazhuang,Heb Ei,China China",29,Shanghai,China
Jnpt,Innsa1,9917151,2025-05-07,29419090,Azithromycin Ip Azithromycin Ip (Antibiotic),IP,200,Kg,11729.33,137,Usd,2158197,,436711.19,0299002314,Mehta Medicare Pvt Ltd,1A Ashutosh Mukherjee Road Room No.303C (3Rd Floor),"Kolkata,W.B.",Hebei Sunco Biotech Co Ltd,"Room 2305,Zhongye Shengshi Plaza, N O.66 Xiangtai Road Shijiazhuang,Heb Ei,China China",29,Shanghai,China
